Country,RMSE,MAE
Haiti,4.036742598354398,3.883261152807578
Brazil,5.8072479928321545,3.8811572181953102
Mexico,5.9529169669985595,5.023003223714081
Paraguay,6.049140392811189,4.710914205323147
Uruguay,6.279703527597948,4.643148588093359
Cuba,6.571059919633457,5.33216592035863
Guatemala,6.79453531122868,4.369032461738697
Costa Rica,7.460308496962275,5.347133917261912
El Salvador,8.664972768454408,6.569257929664525
Chile,9.068189586485168,6.313111816591801
Colombia,9.089123174807733,6.637045246441495
Ecuador,9.268728977996023,6.935548707877672
Nicaragua,9.28996204044579,6.919011975208255
Bolivia,9.332506259005987,6.8361012107143635
"Venezuela, RB",10.976741184170603,8.584995214226245
Argentina,11.098705557523624,8.471422298999231
Peru,11.682030667757882,8.805587297385555
Honduras,12.429941926491345,8.804333367440913
Dominican Republic,12.73365960913361,8.664476799449934
Panama,16.20439094762709,12.041490116489683
